sr_no,Country,Other Names,Cuntry Code,Population,Continent,Total Cases,Total Deaths,Total�Cases//1M pop,Per M Population Deaths Cases
61,El Salvador,El Salvador,SLV,6543499,Latin America and the Caribbean,161570,4120,24692,630
62,Equatorial Guinea,Equatorial Guinea,GNQ,1483588,Africa,15903,183,10719,123
63,Eritrea,Eritrea,ERI,3632329,Africa,9728,103,2678,28
64,Estonia,Estonia,EST,1328097,Europe,558706,2468,420682,1858
65,Eswatini,Eswatini,SWZ,1181191,Africa,69851,1394,59136,1180
66,Ethiopia,Ethiopia,ETH,119945147,Africa,469819,7504,3917,63
67,Faeroe Islands,Faeroe Islands,FRO,49188,Europe,34237,28,696044,569
68,Falkland Islands,Falkland Islands (Malvinas),FLK,3657,Latin America and the Caribbean,123,0,33634,0
69,Fiji,Fiji,FJI,907817,Oceania,64422,834,70964,919
70,Finland,Finland,FIN,5555788,Europe,889626,3178,160126,572
71,France,France,FRA,65526369,Europe,25997852,142506,396754,2175
72,French Guiana,French Guiana,GUF,312224,Latin America and the Caribbean,79075,394,253264,1262
73,French Polynesia,French Polynesia,PYF,283751,Oceania,72318,646,254864,2277
74,Gabon,Gabon,GAB,2317612,Africa,47586,303,20532,131
75,Gambia,Gambia,GMB,2535418,Africa,11988,365,4728,144
76,Georgia,Georgia,GEO,3975762,Asia,1649222,16756,414819,4215
77,Germany,Germany,DEU,84252947,Europe,21646375,130563,256921,1550
78,Ghana,Ghana,GHA,32207812,Africa,160971,1445,4998,45
79,Gibraltar,Gibraltar,GIB,33673,Europe,16979,101,504232,2999
80,Greece,Greece,GRC,10333930,Europe,3077711,27684,297826,2679
81,Greenland,Greenland,GRL,56942,Northern America,11971,21,210231,369
82,Grenada,Grenada,GRD,113436,Latin America and the Caribbean,14024,218,123629,1922
83,Guadeloupe,Guadeloupe,GLP,400244,Latin America and the Caribbean,130705,843,326563,2106
84,Guatemala,Guatemala,GTM,18495493,Latin America and the Caribbean,830745,17325,44916,937
85,Guinea,Guinea,GIN,13755881,Africa,36459,440,2650,32
86,Guinea-Bissau,Guinea-Bissau,GNB,2049374,Africa,8151,170,3977,83
87,Guyana,Guyana,GUY,793196,Latin America and the Caribbean,63272,1226,79768,1546
88,Haiti,Haiti,HTI,11645833,Latin America and the Caribbean,30549,833,2623,72
89,Honduras,Honduras,HND,10180299,Latin America and the Caribbean,421062,10880,41360,1069
90,Hong Kong,"China, Hong Kong Special Administrative Region",HKG,7603455,Asia,1171422,8172,154064,1075
91,Hungary,Hungary,HUN,9617409,Europe,1854198,45510,192796,4732
92,Iceland,Iceland,ISL,345120,Europe,181830,101,526860,293
93,India,India,IND,1403754381,Asia,43029044,521388,30653,371
94,Indonesia,Indonesia,IDN,278586508,Asia,6019981,155288,21609,557
95,Iran,United Kingdom,IRN,85874667,Asia,7167646,140315,83466,1634
96,Iraq,Iraq,IRQ,41801625,Asia,2320260,25173,55506,602
97,Ireland,Ireland,IRL,5034333,Europe,1471210,6786,292235,1348
98,Isle of Man,Isle of Man,IMN,85821,Europe,28416,84,331108,979
99,Israel,Israel,ISR,9326000,Asia,3943153,10530,422813,1129
100,Italy,Italy,ITA,60306185,Europe,14846514,159784,246186,2650
101,Ivory Coast,CÃ´te d'Ivoire,CIV,27520953,Africa,81761,796,2971,29
102,Jamaica,Jamaica,JAM,2983794,Latin America and the Caribbean,128811,2893,43170,970
103,Japan,Japan,JPN,125798669,Asia,6653841,28248,52893,225
104,Jordan,Jordan,JOR,10380442,Asia,1689314,14003,162740,1349
105,Kazakhstan,Kazakhstan,KAZ,19169833,Asia,1305188,13660,68086,713
106,Kenya,Kenya,KEN,55843563,Africa,323454,5648,5792,101
107,Kiribati,Kiribati,KIR,122656,Oceania,3067,13,25005,106
108,Kuwait,Kuwait,KWT,4381108,Asia,629525,2554,143691,583
109,Kyrgyzstan,Kyrgyzstan,KGZ,6712569,Asia,200968,2991,29939,446
110,Laos,Lao People's Democratic Republic,LAO,7460338,Asia,183560,679,24605,91
111,Latvia,Latvia,LVA,1849698,Europe,802534,5643,433873,3051
112,Lebanon,Lebanon,LBN,6771939,Asia,1092995,10315,161401,1523
113,Lesotho,Lesotho,LSO,2171978,Africa,32910,697,15152,321
114,Liberia,Liberia,LBR,5265647,Africa,7400,294,1405,56
115,Libya,Libya,LBY,7034832,Africa,501738,6419,71322,912
116,Liechtenstein,Liechtenstein,LIE,38320,Europe,16429,84,428732,2192
117,Lithuania,Lithuania,LTU,2655811,Europe,1030966,8907,388193,3354
118,Luxembourg,Luxembourg,LUX,643801,Europe,216979,1037,337028,1611
119,Macao,"China, Macao Special Administrative Region",MAC,664828,Asia,82,0,123,0
120,Madagascar,Madagascar,MDG,28936285,Africa,64050,1388,2213,48
121,Malawi,Malawi,MWI,19994654,Africa,85664,2626,4284,131
122,Malaysia,Malaysia,MYS,33091831,Asia,4246467,35099,128324,1061
123,Maldives,Maldives,MDV,557204,Asia,176993,298,317645,535
124,Mali,Mali,MLI,21271006,Africa,30495,728,1434,34
125,Malta,Malta,MLT,443602,Europe,81596,641,183940,1445
126,Marshall Islands,Marshall Islands,MHL,59889,Oceania,7,0,117,0
127,Martinique,Martinique,MTQ,374756,Latin America and the Caribbean,141415,909,377352,2426
128,Mauritania,Mauritania,MRT,4863443,Africa,58670,982,12063,202
129,Mauritius,Mauritius,MUS,1275463,Africa,36628,968,28717,759
130,Mayotte,Mayotte,MYTÂ ,284330,Africa,36891,187,129747,658
131,Mexico,Mexico,MEX,131303955,Latin America and the Caribbean,5665376,323212,43147,2462
132,Micronesia,Micronesia (Federated States of),FSM,117134,Oceania,1,0,9,0
133,Moldova,Republic of Moldova,MDA,4017550,Europe,514199,11446,127988,2849
134,Monaco,Monaco,MCO,39729,Europe,10842,54,272899,1359
